ID,Country or area,Country code,Capital City,Note,Capital Type,City code,Latitude,Longitude,Population (thousands)
208,Swaziland,748,Mbabane,72,Capital,22588,-26.3167,31.1333,68.01
209,Sweden,752,Stockholm,73,Capital,22597,59.3326,18.0649,1582.97
210,Switzerland,756,Bern,,Capital,22601,46.9481,7.4474,422.15
211,Syrian Arab Republic,760,Dimashq (Damascus),74,Capital,22610,33.5086,36.3084,2319.55
212,Tajikistan,762,Dushanbe,,Capital,22615,38.5358,68.7791,872.65
213,TFYR Macedonia,807,Skopje,,Capital,22802,42,21.4333,584.21
214,Thailand,764,Krung Thep (Bangkok),,Capital,22617,13.722,100.5252,10156.32
215,Timor-Leste,626,Dili,,Capital,22172,-8.5601,125.5668,281.14
216,Togo,768,Lomé,,Capital,22628,6.1375,1.2123,1745.74
217,Tokelau,772,Tokelau,75,Others,22629,-9.38,-171.25,1
218,Tonga,776,Nuku'alofa,,Capital,22630,-21.1394,-175.2032,22.9
219,Trinidad and Tobago,780,Port of Spain,76,Capital,22631,10.6662,-61.5166,544.42
220,Tunisia,788,Tunis,77,Capital,22646,36.819,10.1658,2290.78
221,Turkey,792,Ankara,78,Capital,22656,39.9199,32.8543,4919.07
222,Turkmenistan,795,Ashgabat,,Capital,22739,37.95,58.3833,810.19
223,Turks and Caicos Islands,796,Cockburn Town,79,Capital,22742,21.4612,-71.1419,5.45
224,Tuvalu,798,Funafuti,,Capital,22743,-8.5189,179.1991,7.04
225,Uganda,800,Kampala,80,Capital,22744,0.3163,32.5822,2986.35
226,Ukraine,804,Kyiv (Kiev),,Capital,22765,50.4454,30.5186,2956.71
227,United Arab Emirates,784,Abu Zaby (Abu Dhabi),,Capital,22632,24.4648,54.3618,1419.7
228,United Kingdom,826,London,81,Capital,22860,51.5085,-0.1257,9046.49
229,United Republic of Tanzania,834,Dodoma,,Capital,22895,-6.1722,35.7395,261.65
230,United States of America,840,"Washington, D.C.",,Capital,23174,38.8951,-77.0364,5206.59
231,United States Virgin Islands,850,Charlotte Amalie,,Capital,23190,18.3419,-64.9307,52.32
232,Uruguay,858,Montevideo,82,Capital,23193,-34.8335,-56.1674,1736.99
233,Uzbekistan,860,Tashkent,,Capital,23209,41.2647,69.2163,2463.97
234,Vanuatu,548,Port Vila,,Capital,21956,-17.7338,168.3219,52.69
235,Venezuela (Bolivarian Republic of),862,Caracas,83,Capital,23217,10.488,-66.8792,2934.56
236,Viet Nam,704,Hà Noi,84,Capital,22457,21.0245,105.8412,4282.74
237,Wallis and Futuna Islands,876,Matu-Utu,,Capital,23235,-13.2816,-176.1745,1.03
238,Western Sahara,732,El Aaiún,,Capital,22571,27.1532,-13.2014,232.39
239,Yemen,887,Sana'a',85,Capital,23239,15.3531,44.2078,2779.32
240,Zambia,894,Lusaka,,Capital,23277,-15.4134,28.2771,2523.84
241,Zimbabwe,716,Harare,,Capital,22513,-17.8294,31.0539,1515.02
